"%s already exists","%s on juba olemas"
"%s already exist","%s on juba olemas"
"-- Please Select --","-- Vali --"
"Current package name","Käesoleva paketi nimi"
"Request path for specified store","Küsi tee valitud poele"
"Disable email communications","Keela kommunikatsioon e-posti teel"
"Disable modules output","Keela moodulite väljund"
"Invalid base url type","Kehtetu baas url tüüp"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Kehtetu kujunduse uuenduse argument, oodatud Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Kehtetu kujunduse uuenduse käsitlemine"
"Invalid block name to set child %s: %s","Kehtetu ploki nimi seadmaks alltaset %s: %s"
"Invalid block type: %s","Kehtetu ploki tüüp: %s"
"Invalid block: %s","Kehtetu plokk: %s"
"Invalid transactional email code: ","Kehtetu transaktsiooni e-posti kood"
"Invalid websites configuration path: %s","Kehtetu veebisaidi konfiguratsiooni tee: %as"
"Invalid messages storage ""%s"" for layout messages initialization","Kehtetus sõnumi hoidla ""%s"" kujunduse sõnumite initsieerimiseks."
"Customer support","Klienditugi"
"Controller file was loaded but class does not exist","Kontroller faili laaditi kuid klassi ei eksisteeri"
"Code","Kood"
"Layout","Kujundus"
"Delete","Kustuta"
"Delete Store View","Kustuta poe vaade"
"Delete Store","Kustuta pood"
"Delete Website","Kustuta veebisait"
"Date To","Kuupäev kuni"
"Date From","Kuupäeva alates"
"Layouts","Layouts"
"Leave empty for access from any location","Ligipääsuks igalt poolt jäta tühjaks"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Locale","Lokaal"
"Locale options","Lokaal valikud"
"Create Store View","Loo poe vaade"
"Create Store","Loo pood"
"Create Website","Loo veebisait"
"Allow countries","Luba riike"
"Enabled for Admin","Lubadud Admin-ile"
"Enabled","Lubatud"
"Enabled for Frontend","Lubatud Frontendile"
"Allowed IPs (comma separated)","Lubatud IP-d (eraldatud komaga)"
"Template Path Hints","Malli tee vihjed"
"Templates","Mallid"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Sales representative","Müügiesindaja"
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Model class does not exist: %s","Mudeli klassi ei ole olemas: %s"
"Model collection resource name is not defined","Mudeli kollektsiooni ressursi nimi ei ole defineeritud"
"Edit Design Change","Muuda disaini muudatust"
"Edit Store View","Muuda poe vaadet"
"Edit Store","Muuda poodi"
"Edit Website","Muuda veebisaiti"
"Name","Nimi"
"No","No"
"Are you sure?","Olete Te kindel?"
"Search Engines Optimization","Otsingumootori optimiseerimine"
"Package","Pakend"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Palun kasuta selle väljal ainult tähti (a-z) või numbreid (0-9). Tühikud ja muud märgid pole lubatud."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Palun kasuta sellel väljal ainult numbreid. Palun väldi tühikuid ja teisi märke nagu näiteks punktid ja komad."
"Please use letters only (a-z) in this field.","Palun kasuta sellel väljal ainult tähti (a-z)."
"Please use letters only (a-z or A-Z) in this field.","Palun kasuta siin väljas ainult (a-z või A-Z) tähti."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Palun kasutage seda kuupäeva formaati: pp/kk/aaaa. Näiteks 26/05/2008."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Palun kasutage sellel väljal ainult tähti (a-z) või numbreid (0-9) või tühikuid ja numbreid."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Palun kasutage sellel väljal ainult tähti (a-z), numbreid (0-9) või alakriipsu(_), esimene märk peab olema täht."
"Please specify shipping method.","Palun määrake kohaletoimetamise viis."
"Please specify payment method.","Palun määrake makseviis."
"Please wait, loading...","Palun oota, laen..."
"Please enter 6 or more characters.","Palun sisesta 6 või enam tähemärki."
"Please enter a valid email address. For example johndoe@domain.com.","Palun sisesta kehtiv e-posti aadress. Näiteks: tiittamm@domeeninimi.ee"
"Please enter a valid $ amount. For example $100.00.","Palun sisesta kehtiv kr summa. Näiteks 100 kr."
"Please enter a valid credit card number.","Palun sisesta kehtiv krediitkaardi number"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Palun sisesta kehtiv postiindeks."
"Please enter valid password.","Palun sisesta kehtiv salasõna"
"Please enter a valid social security number. For example 123-45-6789.","Palun sisesta kehtiv sotsiaalkindlustuse number"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Palun sisesta kehtiv telefoni number."
"Please enter a valid URL. http:// is required","Palun sisesta kehtiv URL. Http:// on nõutav"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Palun sisesta kehtiv URL. Näiteks http://www.domeeninimi.ee"
"Please enter a valid date.","Palun sisesta korrektne kuupäev."
"Please enter a valid zip code.","Palun sisesta korrektne postiindeks."
"Please enter a valid number in this field.","Palun sisesta sellele väljale kehtiv number"
"Please enter a number greater than 0 in this field.","Palun sisesta siia 0-st suurem number"
"Please make sure your passwords match.","Palun taga et salasõnad ühtivad"
"Please select one of the above options.","Palun tee üks valikutest ülalpool"
"Please select an option.","Palun tee valik"
"Please select one of the options.","Palun vali üks"
"Please select State/Province.","Palun vali maakond"
"Please choose to register or to checkout as a guest","Palun valige kas registreerida või vormistada ost külalisena"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Palus sisesta 6 või enam tähemärki. Tühikuid alguses või lõpus ignoreeritakse"
"Please define flag code.","Please define flag code."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Block with name ""%s"" already exists","Plokk nimega ""%s"" on juba olemas"
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resurssi pole seatud"
"Countries options","Riikide valikud"
"Sender email","Saatja e-post"
"Sender name","Saatja nimi"
"Save","Salvesta"
"Save Store View","Salvesta poe vaade"
"Save Store","Salvesta pood"
"Save Website","Salvesta veebisait"
"System","Süsteem"
"Search","Search"
"Search entire store here...","Search entire store here..."
"Security","Security"
"This is a required field.","See väli on kohustuslik."
"Select Date","Select Date"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Session Cookie management","Sessiooni cookie haldus"
"Set as default","Set as default"
"Skin (Images / CSS)","Skin (pildid / CSS)"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Status","Staatus"
"Start date can't be greater than end date","Start date can't be greater than end date"
"Startup page","Startup page"
"Store doesn't exist","Store doesn't exist"
"Store View","Store View"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"System Log File Name","System Log File Name"
"Back","Tagasi"
"Empty identifier field name","Tühi identifikaatori välja nimi"
"Empty main table name","Tühi põhitabeli nimi"
"Translations","Tõlked"
"Themes","Teemad"
"Services","Teenused"
"Your session has been expired, you will be relogged in now.","Teie sessioon on aegunud, Teid taaslogitakse kohe."
"Your order can not be completed at this time as there is no payment methods available for it.","Teie tellimust ei saa lõpuni viia, kuna hetkel pole sellele saadaval ühtegi makseviisi."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translate Inline","Translate Inline"
"Unknown scope ""%s""","Tundmatu skoop ""%s"""
"Secure","Turvaline"
"Unsecure","Turvamata"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Forgot Password Email Template","Unusta salasõna e-kirja mall"
"Forgot Password Email Sender","Unusta salasõna e-kirja saatja"
"Url Options","Url Options"
"Use custom admin URL","Use custom admin URL"
"Use HTTP Only","Use HTTP Only"
"New Design Change","Uus disaini muudatus"
"New Store View","Uus poe vaade"
"New Store","Uus pood"
"New Website","Uus veebisait"
"Default","Vaikimis"
"Default Pages","Vaikimis lehed"
"Default web url","Vaikimis veebi URL"
"Default Store View","Vaikimisi poe vaade"
"Default Store","Vaikimisi pood"
"Default country","Vaikimisi riik"
"Default no-route url","Vaikimisi ruutimata URL"
"Wrong number of arguments for %s","Vale argumentide arv %s jaoks"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Veeb "
"Website Information","Veebisaidi info"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Veebisaidi kood peaks sisaldama ainult tähti (a-z), numbreid (0-9) või alakriipsu (_), esimene märk peab olema täht"
"Website Name","Veebisaidi nimi"
"Website","Veebisait"
"Website was successfully deleted.","Veebisait on kustutatud"
"Website was successfully saved","Veebisait on salvestatud"
"Website with the same code","Veebisait sama koodiga"
"Error in file: ""%s"" - %s","Viga failis: ""%s"" - %s"
"Error while saving. Please try again later.","Viga salvestamise ajal. Palun proovige hiljem uuesti."
"Error: Passwords do not match","Viga: Paroolid ei klapi"
"Incorrect credit card expiration date","Vigane krediitkaardi aegumise kuupäev"
"Website doesn't exist","Website doesn't exist"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Yes","Yes"
"You have no items to compare.","You have no items to compare."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
